base_score                          ,[ 567.11243045]
age                                 ,score
"(-inf, 45.0]"                      ,-3.5259750326731196
"(45.0, 46.973]"                    ,-8.42939881190626
"(46.973, 58.704]"                  ,-0.6521795647376112
"(58.704, 64.0]"                    ,5.196671228818015
"(64.0, inf]"                       ,11.114812630901405
RevolvingUtilizationOfUnsecuredLines,score
"(-inf, 0.0989]"                    ,39.67642619707642
"(0.0989, 0.298]"                   ,12.103802675518928
"(0.298, 0.465]"                    ,-2.2971456314112415
"(0.465, 0.982]"                    ,-19.385240390863142
"(0.982, 1.0]"                      ,-8.535784465986904
"(1.0, inf]"                        ,-36.816537308924325
DebtRatio                           ,score
"(-inf, 0.0175]"                    ,6.743749840073236
"(0.0175, 0.504]"                   ,-0.04710167295463127
"(0.504, 1.475]"                    ,-2.1010784843456225
"(1.475, inf]"                      ,0.7749443415100167
MonthlyIncome                       ,score
"(-inf, 0.1]"                       ,33.073352894052356
"(0.1, 5591.108]"                   ,-6.0992730253702385
"(5591.108, inf]"                   ,6.094029330561424
NumberOfTime30-59DaysPastDueNotWorse,score
"(-inf, 0.0]"                       ,19.695866896430644
"(0.0, 1.0]"                        ,-24.90739344634744
"(1.0, 2.0]"                        ,-37.0188658144995
"(2.0, inf]"                        ,-41.68356454367481
NumberOfTimes90DaysLate             ,score
"(-inf, 0.0]"                       ,13.533568665547339
"(0.0, 1.0]"                        ,-50.40590226135401
"(1.0, 2.0]"                        ,-58.27634519451385
"(2.0, inf]"                        ,-61.688003186821575
NumberRealEstateLoansOrLines        ,score
"(-inf, 0.0]"                       ,9.565264282197907
"(0.0, 1.0]"                        ,-0.3197779846211218
"(1.0, 2.0]"                        ,-5.278892106642223
"(2.0, 4.0]"                        ,-18.63345584887134
"(4.0, inf]"                        ,-37.049439449901996
NumberOfTime60-89DaysPastDueNotWorse,score
"(-inf, 0.0]"                       ,8.520682902765556
"(0.0, 1.0]"                        ,-38.858584744918055
"(1.0, 2.0]"                        ,-46.424434375118366
"(2.0, inf]"                        ,-45.70658703082751
NumberOfDependents                  ,score
"(-inf, 0.0]"                       ,9.825776856710071
"(0.0, 1.0]"                        ,-7.648960415690264
"(1.0, 2.0]"                        ,-7.938299582513759
"(2.0, inf]"                        ,-7.079461820640318
