                                    ,count   ,mean               ,std                ,min,1%  ,10%        ,25%                 ,50%                ,75%         ,90%               ,99%               ,max
SeriousDlqin2yrs                    ,149391.0,0.06699868131279663,0.25002055205360274,0.0,0.0 ,0.0        ,0.0                 ,0.0                ,0.0         ,0.0               ,1.0               ,1.0
RevolvingUtilizationOfUnsecuredLines,149391.0,6.071086666733801  ,250.26367203531507 ,0.0,0.0 ,0.00319921 ,0.030131806499999997,0.15423457699999998,0.5564942435,0.9780073309999999,1.0939219183000004,50708.0
age                                 ,149391.0,52.30623665414918  ,14.72596208390582  ,0.0,24.0,33.0       ,41.0                ,52.0               ,63.0        ,72.0              ,87.0              ,109.0
NumberOfTime30-59DaysPastDueNotWorse,149391.0,0.3938858431900181 ,3.8529531327831514 ,0.0,0.0 ,0.0        ,0.0                 ,0.0                ,0.0         ,1.0               ,4.0               ,98.0
DebtRatio                           ,149391.0,354.43674048525156 ,2041.8434552590784 ,0.0,0.0 ,0.034991252,0.17744143199999998 ,0.36823353600000003,0.8752793435,1275.0            ,4985.100000000006 ,329664.0
MonthlyIncome                       ,149391.0,5426.6631344204125 ,13236.805337762653 ,0.0,0.0 ,0.18       ,1800.0              ,4428.0             ,7416.0      ,10800.0           ,23250.0           ,3008750.0
NumberOfOpenCreditLinesAndLoans     ,149391.0,8.480892423238348  ,5.136514586436692  ,0.0,0.0 ,3.0        ,5.0                 ,8.0                ,11.0        ,15.0              ,24.0              ,58.0
NumberOfTimes90DaysLate             ,149391.0,0.23812010094316258,3.8261647210502967 ,0.0,0.0 ,0.0        ,0.0                 ,0.0                ,0.0         ,0.0               ,3.0               ,98.0
NumberRealEstateLoansOrLines        ,149391.0,1.022390907082756  ,1.130195502139666  ,0.0,0.0 ,0.0        ,0.0                 ,1.0                ,2.0         ,2.0               ,4.0               ,54.0
NumberOfTime60-89DaysPastDueNotWorse,149391.0,0.2125027612105147 ,3.8105232718338136 ,0.0,0.0 ,0.0        ,0.0                 ,0.0                ,0.0         ,0.0               ,2.0               ,98.0
NumberOfDependents                  ,149391.0,0.7598634268323822 ,1.1017485329571735 ,0.0,0.0 ,0.0        ,0.0                 ,0.0                ,1.0         ,2.0               ,4.0               ,20.0
